Material ID,Formula,Transition Metal Group,Crystal System,Space Group,Total Magnetization (μB),Magnetization per Atom (µB/atom),Num Atoms,Is Stable
mp-1183996,Cu3F,Cu,Hexagonal,P6_3/mmc,0.0386716,0.00483395,8,False
mp-10634,CuF,Cu,Cubic,F-43m,0.0200218,0.0100109,2,False
mp-1229,CuF2,Cu,Monoclinic,P2_1/c,2.0000003,0.33333338333333334,6,True
mp-1147670,CuF2,Cu,Tetragonal,I4/mmm,0.3599454,0.11998180000000001,3,False
mp-1147672,CuF2,Cu,Tetragonal,P4/mmm,0.2739017,0.09130056666666668,3,False
mp-554201,MoF3,Mo,Cubic,Pm-3m,2.9999998,0.74999995,4,False
mp-557539,MoF3,Mo,Trigonal,R-3c,6.0,0.75,8,True
mp-1395134,MoF4,Mo,Triclinic,P1,0.0,0.0,10,False
mp-2041583,MoF4,Mo,Triclinic,P1,4.0000001,0.40000001,10,False
mp-504759,MoF5,Mo,Monoclinic,C2/m,4.0000001,0.16666667083333334,24,True
mp-1047607,MoF5,Mo,Orthorhombic,Cmcm,2.003097,0.16692474999999998,12,False
mp-1379489,MoF5,Mo,Monoclinic,P2_1/c,4.0,0.16666666666666666,24,False
mp-1406655,MoF5,Mo,Monoclinic,C2/c,2.0000001,0.166666675,12,False
mp-1445885,MoF5,Mo,Orthorhombic,Immm,1.0000606,0.16667676666666667,6,False
mp-557259,MoF6,Mo,Orthorhombic,Pnma,0.0,0.0,28,True
mp-558836,MoF6,Mo,Cubic,Im-3m,0.0,0.0,7,False
mp-466,Nb2F5,Nb,Cubic,Im-3m,1.0,0.047619047619047616,21,True
mp-1795,NbF3,Nb,Cubic,Pm-3m,2.0028975,0.500724375,4,False
mp-1416,NbF4,Nb,Tetragonal,I4/mmm,0.9899506,0.19799012,5,False
mp-18687,NbF5,Nb,Monoclinic,C2/m,0.0,0.0,24,True
mp-1186248,NbF5,Nb,Monoclinic,C2/m,0.0021443,8.934583333333333e-05,24,False
mp-556324,NiF2,Ni,Orthorhombic,Pnnm,4.001246,0.6668743333333333,6,False
mp-559798,NiF2,Ni,Tetragonal,P4_2/mnm,4.0012901,0.6668816833333334,6,True
mp-561428,NiF3,Ni,Trigonal,R-3c,2.0001366,0.250017075,8,False
mp-614777,NiF3,Ni,Trigonal,R-3,1.9999998,0.249999975,8,True
mp-1180654,NiF3,Ni,Triclinic,P-1,4.0005836,0.50007295,8,False
mp-1406123,NiF4,Ni,Tetragonal,I4/mcm,3.9998441,0.39998440999999996,10,False
mp-2416,YF3,Y,Orthorhombic,Pnma,0.0,0.0,16,True
mp-556242,YF3,Y,Cubic,Pm-3m,9.18e-05,7.65e-06,12,False
mp-1191736,YF3,Y,Trigonal,P-3c1,0.0,0.0,24,False
mp-1873,ZnF2,Zn,Tetragonal,P4_2/mnm,0.0,0.0,6,True
mp-7709,ZnF2,Zn,Orthorhombic,Pbcn,0.0,0.0,12,False
mp-34260,ZrF4,Zr,Tetragonal,P4/mmm,0.0011875,0.0002375,5,False
mp-561384,ZrF4,Zr,Tetragonal,P4_2/m,0.0,0.0,40,False
mp-1105223,ZrF4,Zr,Monoclinic,P2_1/c,0.0,0.0,20,True
mp-1194272,ZrF4,Zr,Monoclinic,C2/c,0.0,0.0,30,False
mp-31033,HfF4,Hf,Monoclinic,C2/c,0.0,0.0,30,True
mp-1184748,Ir3F,Ir,Cubic,Fm-3m,0.4765867,0.119146675,4,False
mp-2437,IrF3,Ir,Trigonal,R-3c,0.0,0.0,8,True
mp-13841,IrF4,Ir,Orthorhombic,Fdd2,1.9995292,0.19995292,10,True
mp-560553,IrF6,Ir,Orthorhombic,Pnma,12.0000001,0.42857143214285714,28,True
mp-1186354,Os3F,Os,Cubic,Fm-3m,0.0006038,0.00015095,4,False
mp-540830,OsF5,Os,Monoclinic,P2_1/c,23.9999999,0.49999999791666666,48,True
mp-22626,OsF6,Os,Orthorhombic,Pnma,8.0000001,0.28571428928571424,28,True
mp-1100763,Pt3F,Pt,Cubic,Fm-3m,0.203361,0.05084025,4,False
mp-8943,PtF4,Pt,Orthorhombic,Fdd2,0.0,0.0,10,True
mp-660594,PtF4,Pt,Monoclinic,Cc,1e-05,1.0000000000000002e-06,10,False
mp-541341,PtF5,Pt,Monoclinic,P2_1/c,7.9755696,0.1661577,48,True
mp-505319,PtF6,Pt,Orthorhombic,Pnma,7.9999998,0.28571427857142856,28,True
mp-974458,Re3F,Re,Cubic,Fm-3m,0.001072,0.000268,4,False
mp-1025374,ReF6,Re,Cubic,Im-3m,1.0000001,0.14285715714285716,7,True
mp-1209252,ReF6,Re,Orthorhombic,Pnma,3.9634731,0.1415526107142857,28,False
mp-643265,ReF7,Re,Triclinic,P-1,0.0,0.0,16,True
mp-8338,TaF3,Ta,Cubic,Pm-3m,1.9999716,0.4999929,4,False
mp-561197,TaF5,Ta,Monoclinic,C2/m,0.0,0.0,24,True
mp-1047356,TaF5,Ta,Orthorhombic,Cmcm,0.0023515,0.00019595833333333333,12,False
mp-1339908,TaF5,Ta,Monoclinic,P2_1/c,0.0,0.0,24,False
mp-1393434,TaF5,Ta,Triclinic,P-1,5e-07,4.166666666666666e-08,12,False
mp-1400588,TaF5,Ta,Orthorhombic,Immm,6.67e-05,1.1116666666666666e-05,6,False
mp-1830474,TaF5,Ta,Triclinic,P-1,0.0005215,4.345833333333334e-05,12,False
mp-1402840,WF4,W,Triclinic,P1,3.9999941,0.39999941,10,True
mp-2751956,WF4,W,Monoclinic,P2_1/c,4.0,0.4,10,False
mp-1047615,WF5,W,Orthorhombic,Cmcm,2.000516,0.16670966666666667,12,False
mp-1367785,WF5,W,Monoclinic,P2_1/c,4.0,0.16666666666666666,24,False
mp-1386198,WF5,W,Monoclinic,C2/c,2.0,0.16666666666666666,12,False
mp-1390563,WF5,W,Orthorhombic,Immm,1.0000362,0.1666727,6,False
mp-555003,WF6,W,Orthorhombic,Pnma,0.0,0.0,28,True
mp-1391,Ag2F,Ag,Trigonal,P-3m1,0.0,0.0,3,True
mp-861945,Ag2F3,Ag,Trigonal,R-3c,1.9975643,0.19975643,10,False
mp-542298,Ag2F5,Ag,Triclinic,P-1,0.0679971,0.0024284678571428573,28,True
mp-1183244,Ag3F,Ag,Hexagonal,P6_3/mmc,8.5e-05,1.0625e-05,8,False
mp-562412,Ag3F8,Ag,Monoclinic,P2_1/c,2.0,0.09090909090909091,22,False
mp-7592,AgF,Ag,Cubic,Fm-3m,5e-07,2.5e-07,2,True
mp-2284,AgF2,Ag,Orthorhombic,Pbca,0.0,0.0,12,True
mp-7715,AgF2,Ag,Monoclinic,P2_1/c,1e-07,1.6666666666666667e-08,6,False
mp-18536,AgF3,Ag,Hexagonal,P6_122,0.0,0.0,24,True
mp-241,CdF2,Cd,Cubic,Fm-3m,0.0,0.0,3,True
mp-1101972,CdF2,Cd,Orthorhombic,Pnma,0.0,0.0,12,False
mp-1185487,LuF3,Lu,Cubic,Fm-3m,8e-06,2e-06,4,False
mp-1207204,LuF3,Lu,Trigonal,P-3m1,0.0,0.0,4,False
mp-1210818,LuF3,Lu,Trigonal,P-3c1,0.0,0.0,24,True
mp-1186424,Pd3F,Pd,Cubic,Fm-3m,1.763566,0.4408915,4,False
mp-1058,PdF2,Pd,Tetragonal,P4_2/mnm,4.0,0.6666666666666666,6,False
mp-20284,PdF2,Pd,Cubic,Pa-3,4.0000007,0.3333333916666667,12,False
mp-13679,PdF3,Pd,Trigonal,R-3c,1.9964718,0.249558975,8,False
mp-14112,PdF3,Pd,Trigonal,P321,1.0000497,0.083337475,12,False
mp-1179948,PdF3,Pd,Monoclinic,C2/c,0.5610393,0.0701299125,8,False
mp-1524446,PdF3,Pd,Trigonal,R-3,2.0000699,0.2500087375,8,True
mp-13868,PdF4,Pd,Orthorhombic,Fdd2,0.0,0.0,10,True
mp-663300,PdF4,Pd,Monoclinic,Cc,0.0002321,2.321e-05,10,False
mp-974386,Rh3F,Rh,Tetragonal,I4/mmm,0.0190244,0.0047561,4,False
mp-2068,RhF3,Rh,Trigonal,R-3c,0.0,0.0,8,True
mp-21208,RhF3,Rh,Trigonal,P321,0.0005048,4.206666666666667e-05,12,False
mp-1179720,RhF3,Rh,Monoclinic,C2/c,3.4730968,0.4341371,8,False
mp-540622,RhF5,Rh,Monoclinic,P2_1/c,15.9999999,0.33333333125000003,48,True
mp-1025250,RhF6,Rh,Cubic,Im-3m,3.0,0.42857142857142855,7,False
mp-1209109,RhF6,Rh,Orthorhombic,Pnma,12.0000001,0.42857143214285714,28,True
mp-1209757,RhF6,Rh,Monoclinic,C2/c,5.9949074,0.4282076714285714,14,False
